@id,@lat,@lon,amenity,int_name,name,name:en,addr:country,addr:city,addr:street,addr:housenumber,addr:postcode,brand,fuel:biodiesel,fuel:octane_95,fuel:octane_98,fuel:diesel,opening_hours,operator,payment:coins,payment:diners_club,payment:mastercard,payment:notes,payment:visa,phone,website;;
309875534,41.9950681,21.4355937,pub,,Ирски паб Св. Патрик,St. Patrick Irish Pub,MK,Cкoпje,Кеј 13 Ноември,,1000,,,,,,10:00-24:00  Fr-Sa 10:00-01:00,,yes,,yes,yes,yes,,http://www.irishpub.com.mk/;;
309894643,41.9953933,21.4315704,restaurant,Pelister,Пелистер,Pelister,,Скопје,Плоштад Македонија,,1000,,,,,,Mo-Th 07:00-00:00; Fr-Sa 07:00-01:00; Su 10:30-00:00,,,,,,,,https://www.pelisterhotel.com.mk/
310289760,42.0001541,21.4167030,cafe,,Broz Cafe,(Still there),,,,,,,,,,,,,,,,,,,;;
310291064,42.0091887,21.3647780,marketplace,,,,,,,,,,,,,,,,,,,,,,;;
310347978,42.0037205,21.3871700,post_office,Makedonska Pošta,Македонска Пошта,Macedonian Post,MK,Скопје,,,1000,,,,,,,Македонска Пошта,,,,,,,http://www.posta.mk;;
310347997,41.9988664,21.3917594,post_office,Makedonska Pošta,Македонска Пошта,Macedonian Post,MK,Скопје,,,1000,,,,,,,Македонска Пошта,,,,,,,http://www.posta.mk;;
310348048,41.9985413,21.3918782,fast_food,,Лап Лап,,,,,,,,,,,,,,,,,,,,;;
310348362,42.0041706,21.3959586,post_office,Makedonska Pošta,Македонска Пошта,Macedonian Post,MK,Скопје,,,1000,,,,,,,Македонска Пошта,,,,,,,https://www.posta.com.mk/;;
310348494,42.0036936,21.3946845,atm,Stopanska Banka,Стопанска Банка,Stopanska Banka,,,Булевар Партизански Одреди,70b,,,,,,,,Стопанска Банка АД - Скопје,,,,,,,;;
364055426,42.0099438,21.3714984,fuel,,Лукоил,,,,,,,,no,yes,yes,,,,,,,,,,;;
365240253,42.0091616,21.3638036,post_office,Makedonska Pošta,Македонска Пошта,Macedonian Post,MK,Скопје,,,1000,,,,,,,Македонска Пошта,,,,,,,http://www.posta.mk;;
365832510,41.9945277,21.4351265,cinema,Kino Milenium,кино Милениум,Milenium Cinema,MK,Cкoпje,Кеј 13 Ноември,,1000,,,,,,09:30-01:00,,,,,,,+389 2 3120389,http://kinomilenium.mk;;
365839893,41.9775042,21.4212148,parking,,,,,,,,,,,,,,,,,,,,,,;;
367045844,41.9927745,21.3171341,fuel,,,,,,,,,,,,,,,,,,,,,,;;
367675829,42.0061233,21.3816633,pharmacy,,Ремедиум,Remedium,,,,,,,,,,,,,,,,,,,;;
369776669,41.9746802,21.4542071,fuel,,Супертрејд,,,,,,,,,,,,,,,,,,,,;;
370651330,41.9918820,21.4273351,pharmacy,,,,,,,,,,,,,,,,,,,,,,;;
371129575,41.9936657,21.4428736,bank,,НБРМ,,,,,,,,,,,,,Народна банка на Македонија (НРБМ),,,,,,,;;
376888383,41.9962482,21.4280449,parking,,,,,,,,,,,,,,,,,,,,,,;;
386744780,41.9921343,21.4266335,atm,,Шпаркасе,Sparkasse,,,,,,,,,,,,Шпаркасе,,,,,,,;;
386746691,41.9967812,21.4369533,parking_entrance,,,,,,,,,,,,,,,,,,,,,,;;
386746863,41.9967331,21.4364130,parking,,Паркинг МОБ,MOB Carpark,,,,,,,,,,,,,,,,,,,;;
411006922,41.9947432,21.4140669,restaurant,,Интермецо,,,,,,,,,,,,,,,,,,,,;;
411008299,41.9948867,21.4232268,cafe,,Benneton,,,,,,,,,,,,,,,,,,,,;;
411008532,41.9948604,21.4230113,cafe,,AMG,,,,,,,,,,,,,,,,,,,,;;
411009859,41.9955693,21.4253358,cafe,,Strip,,,,Dimitrija Cupovski,24,,,,,,,,,,,,,,,;;
411010191,41.9956368,21.4268858,nightclub,,Клуб Авенија,Club Avenue,,,,,,,,,,,,,,,,,,,;;
416030019,41.9881468,21.4552843,bank,Stopanska Banka,Стопанска Банка,Stopanska Banka,,,,,,,,,,,,Стопанска Банка АД - Скопје,,,,,,,;;
416030021,41.9881141,21.4550700,bank,,Охридска Банка,,,,Булевар Јане Сандански,12,,,,,,,,,,,,,,,;;
416393909,42.0371466,21.4253841,place_of_worship,,,,,,,,,,,,,,,,,,,,,,;;
416411687,42.0079825,21.3842855,atm,,,,,,,,,,,,,,,Уни Банка,,,,,,,;;
416411754,42.0043009,21.3847909,atm,,,,,,,,,,,,,,,Уни Банка,,,,,,,;;
416411856,42.0058046,21.4171593,atm,,,,,,,,,,,,,,,Уни Банка,,,,,,,;;
428060078,42.0318444,21.4031924,parking,,,,,,,,,,,,,,,,,,,,,,;;
429175192,41.9768256,21.4438183,restaurant,,Журнал,,,,,,,,,,,,,,,,,,,,;;
432028998,41.9955723,21.5095269,fountain,,Fontana,,,,,,,,,,,,,,,,,,,,;;
432028999,41.9956704,21.5095817,drinking_water,,,,,,,,,,,,,,,,,,,,,,;;
441057694,42.0051454,21.4082395,cafe,,Cafeteria,,,,,,,,,,,,,,,,,,,,;;
443017384,41.9953026,21.5038680,drinking_water,,,,,,,,,,,,,,,,,,,,,,;;
443017386,41.9953559,21.5039722,waste_basket,,,,,,,,,,,,,,,,,,,,,,;;
443017388,41.9947329,21.5037719,waste_basket,,,,,,,,,,,,,,,,,,,,,,;;
443017395,41.9967167,21.4998343,atm,,Komercijalna Banka,,,,,,,,,,,,,Комерцијална Банка,,,,,,,;;
443017396,41.9964256,21.4996627,pharmacy,,,,,,,,,,,,,,,,,,,,,,;;
443017399,41.9954834,21.5039025,pharmacy,Gradska Apteka Madžari,Градска Аптека Маџари,,,,,,,,,,,,,,,,,,,,;;
443017416,41.9958519,21.4993803,drinking_water,,,,,,,,,,,,,,,,,,,,,,;;
443017417,41.9958290,21.4996552,fountain,,,,,,,,,,,,,,,,,,,,,,;;
443017603,41.9956663,21.5003987,telephone,,,,,,,,,,,,,,,Makedonski Telekom,,,,,,,;;
444938811,41.9984708,21.4226797,pharmacy,,Зегин,Zegin,,,,,,,,,,,24/7,,,,,,,,;;
444994545,42.0023086,21.4626489,pharmacy,,Зегин,,,,,,,,,,,,,,,,,,,,;;
444994811,42.0026330,21.4646210,pharmacy,,,,,,,,,,,,,,,,,,,,,,;;
445422613,42.0072516,21.4871217,restaurant,,Hunter’s Lodge “Kamnik”,,,,,,,,,,,,,,,,,,,,http://www.kamnik.com.mk/;;
445893304,41.9947703,21.4138028,bar,,нола Бар,Nola Bar,MK,Скопје,Митрополит Теодосиј Гологанов,67,1000,,,,,,Mo-Fr 09:00-24:00; Sa Su 00:00-01:00 09:00-24:00,,,,,,,+389 2 2444542,http://hotelimakedonija.com.mk/en/Restaurant/1073/In-Vino-Restaurant;
446278123,41.9934009,21.4262775,parking,,,,,,,,,,,,,,,,,,,,,,;;
446285567,41.9988883,21.3918760,hospital,,Систина,,,,,,,,,,,,,,,,,,,,;;
446307169,41.9905807,21.4458112,bus_station,,Автобуска Станица Скопје,Central Bus Station Skopje,,,,,,,,,,,,,,,,,,,;;
446307170,41.9949620,21.4291916,taxi,,,,,,,,,,,,,,,,,,,,,,;;
